id,timestamp,userId,actionType,entityName,entityId,details
329,2026-04-12T12:50:49.023429,,DELETE_DEPT,Department,9,admin@hospital.com Deleted department: azeaze
328,2026-04-12T12:50:46.739334,,CREATE_DEPT,Department,9,admin@hospital.com Created department: azeaze
327,2026-04-12T12:50:28.436944,,CREATE_ROLE,Role,13,admin@hospital.com Created role: heellop
326,2026-04-12T12:50:20.322448,,DELETE_ROLE,Role,12,admin@hospital.com Deleted role: hellooopp
325,2026-04-12T12:50:15.855614,,CREATE_ROLE,Role,12,admin@hospital.com Created role: hellooopp
324,2026-04-12T12:49:49.525523,,CREATE_USER,User,16,admin@hospital.com Created user: l@gm.com
323,2026-04-12T12:49:27.284258,,UPDATE_USER,User,7,admin@hospital.com Updated user details for: michael.brown@hospital.com
322,2026-04-12T12:49:22.610511,,UPDATE_USER,User,6,admin@hospital.com Updated user details for: emma.wilson@hospital.com
321,2026-04-12T12:35:04.629968,,CREATE_DEPT,Department,8,admin@hospital.com Created department: hello
320,2026-04-12T12:13:02.197291,,UPDATE_USER,User,5,admin@hospital.com Updated user details for: david.carter@hospital.com
319,2026-04-12T11:30:26.060688,1,LOGIN,auth,1,Admin User logged in
318,2026-04-12T11:13:55.39826,1,LOGIN,auth,1,Admin User logged in
317,2026-04-12T10:03:09.829264,1,LOGIN,auth,1,Admin User logged in
316,2026-04-11T20:45:18.54173,1,LOGIN,auth,1,Admin User logged in
315,2026-04-11T05:00:53.85193,,CREATE_USER,User,15,admin@hospital.com Created user: english.akira69@gmail.com
314,2026-04-11T05:00:21.973648,1,LOGIN,auth,1,Admin User logged in
313,2026-04-11T05:00:12.144817,,LOGIN_FAILED,auth,,admin@hospital.com Login failed: Bad credentials
312,2026-04-11T04:57:49.332967,1,LOGIN,auth,1,Admin User logged in
311,2026-04-11T04:57:36.707916,1,LOGIN,auth,1,Admin User logged in
310,2026-04-11T04:57:20.712891,1,LOGIN,auth,1,Admin User logged in
309,2026-04-10T18:29:53.65699,1,LOGIN,auth,1,Admin User logged in
308,2026-04-10T17:25:21.684549,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
307,2026-04-10T17:25:21.627684,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
306,2026-04-10T17:25:18.642363,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
305,2026-04-10T17:25:18.618914,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
304,2026-04-10T17:20:40.399695,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
303,2026-04-10T17:20:40.318607,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=9)
302,2026-04-10T17:17:48.692179,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,11,Viewed photos for claim 11 (count=0)
301,2026-04-10T17:17:48.678261,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,11,Viewed status history for claim 11 (count=1)
300,2026-04-10T17:17:48.671617,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,11,Viewed status history for claim 11 (count=1)
299,2026-04-10T17:17:48.668206,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,11,Viewed photos for claim 11 (count=0)
298,2026-04-10T17:17:48.625356,,CREATE_CLAIM,CLAIM,11,Created claim for requester 1 on equipment 5
297,2026-04-10T17:17:34.455029,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=8)
296,2026-04-10T17:17:34.390084,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=8)
295,2026-04-10T17:15:59.006278,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=8)
294,2026-04-10T17:15:58.956517,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=8)
293,2026-04-10T17:15:52.657919,,VIEW_EQUIPMENT_CLAIMS,EQUIPMENT,2,Viewed claims for equipment 2 (count=1)
292,2026-04-10T17:15:40.756704,,VIEW_REQUESTER_CLAIMS,REQUESTER,1,Viewed claims for requester 1 (count=4)
291,2026-04-10T17:15:17.038629,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,10,Viewed status history for claim 10 (count=2)
290,2026-04-10T17:15:17.033769,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,10,Viewed photos for claim 10 (count=0)
289,2026-04-10T17:15:16.959835,,PATCH_CLAIM_STATUS,CLAIM,10,Patched status of claim 10 from CREATED to QUALIFIED
288,2026-04-10T17:14:48.652347,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,10,Viewed status history for claim 10 (count=1)
287,2026-04-10T17:14:48.64663,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,10,Viewed photos for claim 10 (count=0)
286,2026-04-10T17:14:48.627987,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,10,Viewed status history for claim 10 (count=1)
285,2026-04-10T17:14:48.627987,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,10,Viewed photos for claim 10 (count=0)
284,2026-04-10T17:14:48.563477,,CREATE_CLAIM,CLAIM,10,Created claim for requester 1 on equipment 7
283,2026-04-10T17:13:48.073894,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=7)
282,2026-04-10T17:13:47.881984,,VIEW_ALL_CLAIMS,CLAIM,,Viewed all claims (count=7)
281,2026-04-10T16:27:30.155345,,CREATE_USER,User,14,admin@hospital.com Created user: aa@hospital.com
280,2026-04-10T14:34:49.343544,1,LOGIN,auth,1,Admin User logged in
279,2026-04-10T14:29:58.407887,13,LOGIN,auth,13,tbib User logged in
278,2026-04-10T14:29:44.382166,1,LOGIN,auth,1,Admin User logged in
277,2026-04-10T14:29:35.958971,,LOGIN_FAILED,auth,,admin@hospital.com Login failed: Bad credentials
276,2026-04-10T14:29:24.584776,,LOGIN_FAILED,auth,,tb@hpspital.com Login failed: Bad credentials
275,2026-04-10T14:29:07.227561,,LOGIN_FAILED,auth,,tbib@hospital.com Login failed: Bad credentials
274,2026-04-10T14:28:50.235115,,CREATE_USER,User,13,admin@hospital.com Created user: tb@hospital.com
273,2026-04-10T14:26:16.032387,1,LOGIN,auth,1,Admin User logged in
272,2026-04-08T18:38:56.347071,,SOFT_DELETE_USER,User,11,admin@hospital.com Soft deleted user account (deactivated): ziko@gmail.com
271,2026-04-08T18:38:40.339502,,SOFT_DELETE_USER,User,11,admin@hospital.com Soft deleted user account (deactivated): ziko@gmail.com
270,2026-04-08T18:37:47.189983,,ENABLE_USER,User,1,admin@hospital.com Enabled account: admin@hospital.com
269,2026-04-08T18:37:32.891997,,SOFT_DELETE_USER,User,1,admin@hospital.com Soft deleted user account (deactivated): admin@hospital.com
268,2026-04-08T18:36:57.63045,,SOFT_DELETE_USER,User,3,admin@hospital.com Soft deleted user account (deactivated): mohaimen@gmail.com
267,2026-04-08T18:36:33.996822,,SOFT_DELETE_USER,User,11,admin@hospital.com Soft deleted user account (deactivated): ziko@gmail.com
266,2026-04-08T18:36:16.058024,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
265,2026-04-08T18:36:11.915208,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
264,2026-04-08T18:18:35.372811,1,LOGIN,auth,1,Admin User logged in
263,2026-04-07T00:35:34.057331,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
262,2026-04-07T00:29:18.51616,,DELETE_DEPT,Department,7,admin@hospital.com Deleted department: azeaz
261,2026-04-07T00:29:15.243248,,CREATE_DEPT,Department,7,admin@hospital.com Created department: azeaz
260,2026-04-07T00:21:27.782239,1,LOGIN,auth,1,Admin User logged in
259,2026-04-07T00:14:51.744588,,DELETE_DEPT,Department,6,admin@hospital.com Deleted department: TEMP_VALIDATION_DEPT
258,2026-04-07T00:14:51.723759,,CREATE_DEPT,Department,6,admin@hospital.com Created department: TEMP_VALIDATION_DEPT
257,2026-04-07T00:14:51.656529,,DELETE_ROLE,Role,11,admin@hospital.com Deleted role: TEMP_VALIDATION_ROLE
256,2026-04-07T00:14:51.595176,,CREATE_ROLE,Role,11,admin@hospital.com Created role: TEMP_VALIDATION_ROLE
255,2026-04-07T00:14:09.382974,,SOFT_DELETE_USER,User,4,admin@hospital.com Soft deleted user account (deactivated): sarah.mitchell@hospital.com
254,2026-04-07T00:13:55.89718,1,LOGIN,auth,1,Admin User logged in
253,2026-04-07T00:11:56.109125,,SOFT_DELETE_USER,User,3,admin@hospital.com Soft deleted user account (deactivated): mohaimen@gmail.com
252,2026-04-07T00:11:37.281234,1,LOGIN,auth,1,Admin User logged in
251,2026-04-07T00:11:12.3874,1,LOGIN,auth,1,Admin User logged in
250,2026-04-06T23:38:17.226277,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
249,2026-04-06T23:37:56.740598,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
248,2026-04-06T23:37:46.346605,,SOFT_DELETE_USER,User,12,admin@hospital.com Soft deleted user account (deactivated): zizo@gmail.com
247,2026-04-06T23:37:26.396388,,CREATE_USER,User,12,admin@hospital.com Created user: zizo@gmail.com
246,2026-04-06T23:37:02.986433,,CREATE_ROLE,Role,10,admin@hospital.com Created role: NOTHING
245,2026-04-06T23:36:54.839479,,DELETE_ROLE,Role,9,admin@hospital.com Deleted role: NOTHING
244,2026-04-06T23:36:50.809248,,CREATE_ROLE,Role,9,admin@hospital.com Created role: NOTHING
243,2026-04-06T23:36:28.524146,,CREATE_USER,User,11,admin@hospital.com Created user: ziko@gmail.com
242,2026-04-06T23:35:34.092213,1,LOGIN,auth,1,Admin User logged in
241,2026-04-06T23:33:21.004553,1,LOGIN,auth,1,Admin User logged in
240,2026-04-06T23:23:34.849633,1,LOGIN,auth,1,Admin User logged in
239,2026-04-06T23:01:09.562364,1,LOGIN,auth,1,Admin User logged in
238,2026-04-06T17:41:41.349531,10,LOGIN,auth,10,Ayoub Bougacha User logged in
237,2026-04-06T17:41:21.257755,,CREATE_USER,User,10,admin@hospital.com Created user: Gacha@gmail.com
236,2026-04-06T17:39:35.026438,1,LOGIN,auth,1,Admin User logged in
235,2026-04-06T16:44:39.572335,1,LOGIN,auth,1,Admin User logged in
234,2026-04-04T17:17:38.069492,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,4,Viewed photos for claim 4 (count=0)
233,2026-04-04T17:17:38.06798,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,4,Viewed status history for claim 4 (count=5)
232,2026-04-04T17:17:37.953557,,PATCH_CLAIM_STATUS,CLAIM,4,Patched status of claim 4 from CREATED to CANCELLED
231,2026-04-04T17:17:25.092682,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,4,Viewed photos for claim 4 (count=0)
230,2026-04-04T17:17:25.090175,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,4,Viewed status history for claim 4 (count=4)
228,2026-04-04T17:17:24.968089,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,4,Viewed photos for claim 4 (count=0)
229,2026-04-04T17:17:24.968089,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,4,Viewed status history for claim 4 (count=4)
226,2026-04-04T17:15:24.309575,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,4,Viewed photos for claim 4 (count=0)
227,2026-04-04T17:15:24.309575,,VIEW_CLAIM_STATUS_HISTORY,CLAIM_STATUS_HISTORY,4,Viewed status history for claim 4 (count=4)
224,2026-04-04T17:15:24.264997,,VIEW_CLAIM_PHOTOS,CLAIM_PHOTO,4,Viewed photos for claim 4 (count=0)
